Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Fiji,['4.1'],[663.0],0.0,1970.0,0.0,,1.0,14087.0,233856.0,,,,,,,,
Finland,"['4,2', '4,5', '4,2', '3,7', '4,4', '4,6', '4,5', '4,4', '4,4', '4,4', '4,6', '4,5', '4,5', '4,6', '4,4', '4,2', '4,3', '4,4', '4,6', '4,2', '4,6', '4,4', '4,6', '4,6', '4,5', '4,6', '4,5']","[7000.0, 7000.0, 3000.0, 382.0, 3000.0, 5000.0, 2000.0, 8000.0, 1000.0, 2000.0, 5000.0, 1000.0, 8000.0, 2000.0, 1000.0, 520.0, 2000.0, 1000.0, 3000.0, 556.0, 1000.0, 6000.0, 1000.0, 468.0, 1000.0, 1000.0, 1000.0]",5.0,1917.0,7.0,298.0,3.0,386052.0,311889.0,3962.0,2423.0,1.0,1.8,0.8,,,9.8
France,"['4,7', '4,5', '3,3', '4,6', '4,7', '4,5', '4,6', '4,6', '4,4', '4,4', '4,4', '4,5', '4,6', '4,6', '4,7', '4,5', '4,3', '4,6', '4,6', '4,6', '4,5', '4,5', '4,6', '4,6', '4,3', '4,7', '4,7']","[309000.0, 6000.0, 3.0, 13000.0, 88000.0, 1000.0, 23000.0, 17000.0, 20000.0, 5000.0, 4000.0, 212.0, 17000.0, 17000.0, 17000.0, 4000.0, 12000.0, 11000.0, 3000.0, 18000.0, 9000.0, 1000.0, 6000.0, 6000.0, 6000.0, 10.0, 12000.0]",75.0,843.0,16.0,265.0,3.0,8524876.0,2341908.0,4320.0,3872.0,2.0,2.2,2.0,2.2,,8.0
Gabon,"['4,2', '3,6']","[161.0, 53.0]",0.0,1960.0,0.0,,1.0,416651.0,48392.0,,,,,,,,
Gambia,"['3.8', '4.0', '4.6', '4.3']","[144.0, 52.0, 25.0, 82.0]",0.0,1965.0,0.0,,2.0,,,,,,,,,,
Georgia,"['4,5', '4,6', '4,6', '4,8', '4,5', '4,8', '4,8', '4,4', '4,9', '4,6', '4,6', '4,2', '4,7', '4,3', '4,7', '4,7', '4,1', '4,8', '4,5', '4,6', '4,6', '4,4', '4,1', '4,5', '4,2', '4,3']","[5000.0, 1000.0, 2000.0, 622.0, 265.0, 165.0, 676.0, 1000.0, 3000.0, 1000.0, 651.0, 790.0, 1000.0, 715.0, 182.0, 1000.0, 5000.0, 523.0, 360.0, 909.0, 538.0, 638.0, 122.0, 133.0, 291.0, 110.0]",0.0,1991.0,0.0,,2.0,79368.0,861077.0,,,,,,,,
Germany,"['4,5', '4,5', '4,5', '4,6', '4,3', '4,8', '4,7', '4,6', '4,3', '4,7', '4,6', '4,6', '4,7', '4,8', '4,6', '4,6', '4,7', '4,7', '4,3', '4,3', '4,6', '4,6', '4,3', '4,6', '4,8', '4,6', '4,5']","[33000.0, 9507.0, 11000.0, 21000.0, 15000.0, 41000.0, 6326.0, 35000.0, 21000.0, 48000.0, 9464.0, 4143.0, 1350.0, 84000.0, 6978.0, 16000.0, 31000.0, 26000.0, 514.0, 35000.0, 6517.0, 34000.0, 15000.0, 14000.0, 7364.0, 8992.0, 29000.0]",115.0,962.0,30.0,278.0,3.0,15762457.0,3855268.0,2896.0,4480.0,1.0,1.4,1.2,,,6.0
Ghana,"['4.0', '4.0', '3.8', '3.5', '4.4', '4.4', '4.2', '4.9', '4.4', '4.0', '4.4', '4.2', '3.8', '4.3', '5.0']","[983.0, 514.0, 435.0, 206.0, 2000.0, 2000.0, 292.0, 132.0, 63.0, 3.0, 988.0, 78.0, 134.0, 385.0, 1.0]",1.0,1957.0,0.0,,3.0,476412.0,1004324.0,,,,,,,,
Greece,"['4,6', '4,7', '4,7', '4,7', '4,7', '4,7', '4,7', '4,6', '4,7', '4,7', '4,3', '4,5', '4,8', '4,7', '4,6', '4,8', '4,9', '4,4', '4,6', '4,5', '4,9', '4,7', '4,7', '4,8', '4,3', '4,8', '4,7']","[28000.0, 5000.0, 62000.0, 6000.0, 28000.0, 3000.0, 3000.0, 4000.0, 11000.0, 5000.0, 5000.0, 4000.0, 2000.0, 2000.0, 1000.0, 71.0, 1000.0, 2000.0, 3000.0, 2000.0, 775.0, 813.0, 2000.0, 107.0, 845.0, 218.0, 2000.0]",2.0,1822.0,2.0,396.0,2.0,1340456.0,1088507.0,4483.0,2433.0,2.0,2.8,,,,12.2
Greenland,"['4,5', '4,3', '4,1', '4,5', '4,8', '4,0', '4,1', '4,2', '3,8', '4,3', '5,0', '4,5', '4,2', '4,3', '4,5', '4,0', '4,4']","[282.0, 197.0, 11.0, 33.0, 43.0, 18.0, 9.0, 28.0, 16.0, 26.0, 8.0, 85.0, 38.0, 18.0, 6.0, 59.0, 12.0]",0.0,,0.0,,,5899.0,17866.0,,,,,,,,
Grenada,"['4.1', '4.2', '4.5', '4.2']","[58.0, 12.0, 13.0, 114.0]",0.0,,0.0,,,7213.0,62204.0,,,,,,,,
Guatemala,"['4.6', '4.6', '4.1', '4.6', '4.2', '4.6', '4.7', '4.6', '4.7', '4.6', '4.7', '4.8', '4.6', '4.7', '4.8', '4.5', '4.6', '3.8', '4.6', '4.1']","[673.0, 3000.0, 184.0, 269.0, 26.0, 422.0, 15.0, 1000.0, 763.0, 1000.0, 108.0, 115.0, 1000.0, 235.0, 91.0, 405.0, 1000.0, 23.0, 38.0, 10.0]",2.0,1821.0,0.0,,2.0,84311.0,1368431.0,,,,,,,,
Guinea,"['3,8', '5,0', '4,6']","[103.0, 1.0, 12.0]",0.0,1958.0,0.0,,1.0,121437.0,550790.0,,,,,,,,
Guyana,"['4.3', '4.6', '5.0', '4.3']","[213.0, 8.0, 3.0, 23.0]",0.0,1966.0,0.0,,2.0,31169.0,438413.0,,,,,,,,
Haiti,"['4,3', '5,0', '4,3', '4,4', '3,9', '4,0', '1,0']","[635.0, 1.0, 189.0, 69.0, 39.0, 50.0, 1.0]",0.0,1804.0,0.0,,1.0,18884.0,1769671.0,,,,,,,,
Honduras,"['4.5', '4.5', '4.5', '4.6', '4.6', '4.7', '4.6', '4.7', '4.7', '4.0', '4.5', '4.7', '4.7', '4.8', '4.3', '4.0', '5.0']","[1000.0, 685.0, 1000.0, 195.0, 455.0, 2000.0, 1000.0, 45.0, 47.0, 81.0, 306.0, 7.0, 34.0, 39.0, 249.0, 93.0, 1.0]",0.0,1821.0,0.0,,1.0,39195.0,985077.0,,,,,,,,
Hong Kong,"['4.4', '4.3', '4.4', '4.2', '4.4', '4.3', '4.1', '4.2', '4.2', '4.3', '4.2', '4.0', '4.0', '4.1', '4.3', '3.9', '4.2', '3.8', '3.8', '4.0', '4.3', '4.2', '4.1', '4.2', '3.7', '4.0']","[3030.0, 6812.0, 7622.0, 615.0, 2298.0, 2922.0, 3322.0, 1528.0, 6073.0, 1517.0, 1739.0, 725.0, 610.0, 758.0, 3895.0, 332.0, 359.0, 482.0, 628.0, 126.0, 184.0, 1218.0, 651.0, 48.0, 289.0, 86.0]",1.0,,5.0,99.0,0.0,2962491.0,1007788.0,,,,,,,,
Hungary,"['4,5', '4,7', '4,7', '4,1', '4,6', '4,5', '4,6', '4,1', '4,8', '4,8', '4,4', '4,9', '4,9', '4,6', '4,3', '4,5', '4,4', '4,4', '4,6', '4,7', '4,2', '4,7', '4,7', '4,2', '4,5', '4,7', '4,6']","[11000.0, 13000.0, 8000.0, 19000.0, 1000.0, 6000.0, 7000.0, 3000.0, 2000.0, 15.0, 1000.0, 362.0, 1000.0, 916.0, 3000.0, 2000.0, 479.0, 651.0, 753.0, 588.0, 1000.0, 937.0, 1000.0, 1000.0, 497.0, 10000.0, 346.0]",15.0,1991.0,0.0,,1.0,584567.0,714420.0,2718.0,3212.0,2.4,0.8,,,,10.8
Iceland,"['4,5', '4,2', '4,5', '4,2', '4,3', '4,6', '4,5', '4,2', '4,4', '4,4', '4,2', '4,4', '4,2', '4,2', '4,6', '4,6', '4,4', '4,7', '4,1', '4,7', '4,5', '4,8', '4,4', '4,5', '4,9', '4,6', '4,4']","[3000.0, 3000.0, 8000.0, 2000.0, 834.0, 881.0, 728.0, 1000.0, 1000.0, 1000.0, 1000.0, 3000.0, 785.0, 639.0, 1000.0, 1000.0, 1000.0, 518.0, 535.0, 641.0, 1000.0, 195.0, 1000.0, 249.0, 166.0, 333.0, 357.0]",1.0,1944.0,0.0,,3.0,65424.0,43251.0,5100.0,2516.0,1.6,1.2,,,,10.0
India,"['4.6', '4.5', '4.4', '4.6', '4.6', '4.3', '4.5', '4.4', '4.5', '4.3', '4.2', '4.4', '4.5', '4.6', '4.7', '4.5', '4.5', '4.6', '4.4', '4.4', '4.6', '4.5', '4.3', '4.4', '4.4', '4.3', '3.9']","[18000.0, 49000.0, 69000.0, 34000.0, 74000.0, 1000.0, 89000.0, 24000.0, 63000.0, 16000.0, 6000.0, 51000.0, 5000.0, 17000.0, 13000.0, 883.0, 906.0, 48000.0, 21000.0, 3000.0, 15000.0, 13000.0, 8000.0, 11000.0, 16000.0, 5000.0, 262.0]",10.0,1947.0,11.0,311.0,1.0,4878704.0,17869492.0,,,,,,,,
Indonesia,"['4,7', '4,5', '4,5', '4,6', '4,3', '4,7', '4,6', '4,7', '4,5', '4,3', '4,7', '4,7', '4,7', '4,5', '4,6', '4,3', '4,6', '4,2', '4,6', '4,5', '4,6', '4,5', '4,4', '4,6', '4,7', '4,7', '3,2']","[1000.0, 157000.0, 19.0, 22000.0, 205.0, 9000.0, 263.0, 54000.0, 2000.0, 1000.0, 2000.0, 1000.0, 10000.0, 4000.0, 15000.0, 1000.0, 11000.0, 241.0, 14000.0, 3000.0, 1000.0, 3000.0, 376.0, 1000.0, 15000.0, 9000.0, 11.0]",0.0,1945.0,5.0,323.0,2.0,355505.0,4601369.0,,,,,,,,
Iran,"[4.5, 4.6, 4.6, 4.5, 4.6, 4.6, 4.6, 4.5, 4.6, 4.6, 4.3, 4.2, 4.4, 4.4, 4.4, 4.4, 4.5, 4.7, 4.4, 4.4, 4.6, 4.6, 4.7, 4.5, 4.2, 4.1]","[2000.0, 64.0, 999.0, 293.0, 5000.0, 579.0, 331.0, 874.0, 1000.0, 3000.0, 418.0, 973.0, 945.0, 502.0, 250.0, 408.0, 835.0, 21.0, 651.0, 356.0, 1000.0, 742.0, 103.0, 309.0, 77.0, 352.0]",2.0,1477.0,4.0,380.0,1.0,2797235.0,1325113.0,,,,,,,,
Iraq,"[4.5, 4.1, 4.3, 4.4, 4.3, 4.3, 4.4, 4.4, 4.2, 4.4, 4.3, 4.1, 4.2, 4.0, 4.2, 3.9, 4.5, 4.6, 3.8]","[1000.0, 325.0, 327.0, 375.0, 165.0, 59.0, 457.0, 451.0, 502.0, 536.0, 171.0, 378.0, 291.0, 2.0, 152.0, 363.0, 948.0, 467.0, 85.0]",1.0,1932.0,0.0,,1.0,365766.0,2077976.0,,,,,,,,
Ireland,[],[],11.0,1919.0,6.0,282.0,3.0,871256.0,734317.0,5415.0,2755.0,1.0,2.0,2.2,,,8.8
Israel,"['4.7', '4.2', '4.3', '4.7', '4.4', '4.5', '4.4', '4.5', '4.7', '4.8', '4.4', '4.8', '4.5', '4.8', '3.9', '4.5', '4.5', '4.5', '4.5', '4.5']","[16000.0, 1000.0, 399.0, 1000.0, 5000.0, 1000.0, 2000.0, 1000.0, 1000.0, 1000.0, 205.0, 15000.0, 3000.0, 19.0, 30.0, 15000.0, 233.0, 97.0, 125.0, 86.0]",13.0,1948.0,4.0,332.0,3.0,1953575.0,358691.0,5511.0,2929.0,,,,,,
Italy,"['4,7', '4,6', '4,7', '4,6', '4,7', '4,7', '4,7', '4,6', '4,7', '4,6', '4,6', '4,6', '4,6', '4,7', '4,6', '4,7', '4,7', '4,6', '4,6', '4,7', '4,6', '4,7', '4,5', '4,6', '4,5', '4,8', '4,6']","[73000.0, 22000.0, 29000.0, 47000.0, 21000.0, 15000.0, 27000.0, 7559.0, 51000.0, 29000.0, 42000.0, 16000.0, 5011.0, 84000.0, 1089.0, 75000.0, 20000.0, 9145.0, 5815.0, 2774.0, 5634.0, 2209.0, 2604.0, 166000.0, 2329.0, 10000.0, 4996.0]",21.0,1945.0,14.0,317.0,3.0,6386998.0,3258831.0,4521.0,2970.0,2.0,0.8,,,,13.0
Ivory Coast,"['3,9', '4,0', '3,8', '4,4', '3,9']","[764.0, 564.0, 565.0, 76.0, 8.0]",0.0,1958.0,0.0,,,2564857.0,1149298.0,,,,,,,,
Jamaica,"['4.1', '4.5', '4.0', '4.4', '4.3', '4.5', '4.1', '3.9', '4.4', '4.6', '5.0', '4.2', '4.0', '4.3', '4.5', '4.4', '4.6', '4.5', '4.2', '4.1', '5.0', '4.4', '4.4', '4.4', '4.4', '4.9', '4.0']","[59.0, 4000.0, 48.0, 638.0, 382.0, 148.0, 364.0, 7.0, 79.0, 86.0, 2.0, 117.0, 140.0, 120.0, 8.0, 8.0, 3000.0, 1000.0, 5.0, 16.0, 3.0, 43.0, 47.0, 47.0, 31.0, 176.0, 28.0]",0.0,1962.0,0.0,,3.0,23629.0,1118931.0,,,,,,,,
Japan,"['4.5', '4.3', '4.4', '4.3', '4.5', '4.5', '4.5', '3.8', '4.0', '4.6', '4.4', '4.7', '4.4', '4.3', '4.4', '4.4', '4.4', '4.5', '4.5', '4.4', '4.4', '4.2', '4.5', '4.5', '4.4', '4.4', '4.6']","[2000.0, 5816.0, 1000.0, 1000.0, 1000.0, 8105.0, 1000.0, 1000.0, 1722.0, 1000.0, 1327.0, 1000.0, 882.0, 76.0, 4201.0, 3209.0, 3456.0, 4587.0, 1000.0, 596.0, 9137.0, 1000.0, 8255.0, 556.0, 1000.0, 3309.0, 327.0]",29.0,1952.0,15.0,236.0,3.0,2770996.0,808825.0,4669.0,2669.0,,,,,,
Jordan,"[4.7, 4.4, 4.7, 4.6, 4.4, 4.7, 4.4, 4.7, 4.2, 4.8, 4.6, 4.9, 4.5, 3.8, 4.2, 4.0, 4.6, 4.2, 4.3, 4.3, 4.4, 4.5, 4.6, 4.6, 4.3, 4.6, 4.0]","[7000.0, 434.0, 779.0, 2000.0, 136.0, 4000.0, 982.0, 2000.0, 186.0, 382.0, 672.0, 820.0, 976.0, 546.0, 2000.0, 319.0, 454.0, 5.0, 793.0, 504.0, 5000.0, 19000.0, 75.0, 102.0, 538.0, 379.0, 233.0]",0.0,1946.0,0.0,,0.0,3457691.0,814909.0,,,,,,,,
Kazakhstan,"['4,6', '4,3', '4,5', '4,6', '4,7', '4,6', '4,8', '4,7', '3,4', '4,9', '4,4', '4,7', '4,4', '4,6', '4,5', '4,4', '4,6', '4,7', '4,7']","[3000.0, 2000.0, 651.0, 342.0, 359.0, 252.0, 1000.0, 2000.0, 12.0, 9.0, 52.0, 157.0, 419.0, 1000.0, 1000.0, 156.0, 337.0, 1000.0, 235.0]",0.0,1991.0,3.0,355.0,1.0,3732073.0,4203899.0,,,,,,,,
Kenya,[],[],1.0,1963.0,0.0,,1.0,1050147.0,535348.0,,,,,,,,
Kiribati,['4.0'],[1.0],0.0,1979.0,0.0,,,3126.0,5103.0,,,,,,,,
Kuwait,"[4.1, 4.5, 4.5, 4.6, 4.3, 4.2, 4.4, 4.4, 4.9, 4.6, 4.6, 4.5, 4.0, 4.0, 4.4, 4.4, 4.3, 4.4, 4.2, 4.4, 4.3, 3.5, 4.2, 3.7]","[793.0, 190.0, 142.0, 5000.0, 49.0, 160.0, 359.0, 370.0, 20.0, 15000.0, 1000.0, 1000.0, 81.0, 47.0, 456.0, 85.0, 131.0, 116.0, 20.0, 8.0, 455.0, 4.0, 80.0, 74.0]",0.0,1991.0,0.0,,1.0,3110159.0,212271.0,,,,,,,,
Kyrgyzstan,[],[],0.0,,0.0,,1.0,199011.0,774377.0,,,,,,,,
Laos,[],[],0.0,1949.0,0.0,,0.0,48731.0,1296051.0,,,,,,,,
Latvia,"['4,7', '4,3', '4,6', '4,4', '4,6', '4,6', '4,4', '4,8', '4,5', '4,6', '4,6', '4,6', '4,5', '4,4', '4,6', '4,5', '4,7', '4,7', '4,7', '4,7', '4,0', '4,6', '4,7', '4,6', '4,6', '4,5', '4,6']","[4000.0, 1000.0, 5000.0, 776.0, 3000.0, 1000.0, 2000.0, 9000.0, 1000.0, 1000.0, 1000.0, 90.0, 1000.0, 1000.0, 250.0, 248.0, 391.0, 278.0, 133.0, 11000.0, 689.0, 1000.0, 830.0, 34.0, 8000.0, 2000.0, 1000.0]",1.0,1918.0,0.0,,3.0,239422.0,380010.0,3506.0,2334.0,1.0,2.0,1.0,,,13.2
Lebanon,"[4.6, 4.8, 4.6, 4.6, 4.4, 4.6, 4.5, 4.6, 4.5, 4.1, 4.7, 4.5, 4.7, 3.9, 4.7, 4.5, 3.8, 4.3, 4.5, 4.8, 4.7, 4.8, 5.0, 4.9, 4.0, 4.1, 4.8]","[2000.0, 620.0, 1000.0, 137.0, 451.0, 105.0, 703.0, 356.0, 132.0, 63.0, 71.0, 608.0, 84.0, 283.0, 141.0, 33.0, 172.0, 25.0, 4.0, 60.0, 1000.0, 4.0, 1.0, 267.0, 61.0, 16.0, 6.0]",1.0,1941.0,1.0,226.0,1.0,1712762.0,856814.0,,,,,,,,
Lesotho,"['4.2', '4.5', '4.0', '4.5', '2.8']","[34.0, 6.0, 8.0, 2.0, 4.0]",0.0,1966.0,0.0,,2.0,12060.0,202164.0,,,,,,,,
Liberia,['4.1'],[102.0],2.0,1847.0,0.0,,2.0,87947.0,233564.0,,,,,,,,
Libya,[],[],0.0,1951.0,0.0,,0.0,826537.0,185518.0,,,,,,,,
Liechtenstein,"['4.6', '4.3', '3.7', '4.3', '4.2', '4.3', '4.2', '4.4', '4.8', '4.5', '4.8', '4.7']","[280.0, 645.0, 64.0, 260.0, 17.0, 22.0, 18.0, 31.0, 11.0, 6.0, 9.0, 11.0]",0.0,1813.0,0.0,,,25877.0,3706.0,,,,,,,,
Lithuania,"['4,5', '4,5', '4,6', '4,7', '4,8', '4,5', '4,5', '4,7', '4,3', '4,8', '4,7', '4,7', '4,7', '4,6', '4,6', '4,8', '4,7', '4,8', '4,4', '4,6', '4,7', '4,7', '4,5', '4,6', '4,7', '4,9', '4,6']","[1000.0, 245.0, 4000.0, 9000.0, 1000.0, 6000.0, 419.0, 14000.0, 1000.0, 494.0, 2000.0, 6000.0, 385.0, 3000.0, 2000.0, 2000.0, 8000.0, 183.0, 307.0, 377.0, 2000.0, 800.0, 166.0, 463.0, 596.0, 225.0, 1000.0]",3.0,1918.0,1.0,473.0,2.0,145184.0,658057.0,2576.0,5053.0,1.0,2.0,1.0,1.0,,12.0
Luxembourg,"['4,6', '4,6', '4,6', '4,5', '4,2', '4,6', '4,5', '4,2', '4,4', '3,8', '4,8', '4,7', '4,4', '4,6', '4,9', '5,0', '4,3', '3,3']","[1000.0, 1000.0, 1000.0, 628.0, 2000.0, 307.0, 575.0, 342.0, 63.0, 6.0, 2000.0, 48.0, 413.0, 283.0, 15.0, 4.0, 114.0, 6.0]",2.0,1839.0,1.0,381.0,3.0,298062.0,81757.0,5544.0,2535.0,1.0,2.0,1.0,2.0,1.0,8.8
Macau,"['4,2', '4,3', '3,7', '4,0', '4,4', '4,2', '4,3', '4,3', '4,2', '3,9', '4,3', '4,3', '4,1', '4,3', '4,3', '3,8', '3,8', '4,0', '4,2']","[491.0, 248.0, 30.0, 470.0, 23.0, 183.0, 60.0, 179.0, 164.0, 9.0, 80.0, 100.0, 43.0, 1000.0, 3.0, 8.0, 8.0, 5.0, 1000.0]",0.0,,1.0,254.0,,403490.0,145192.0,,,,,,,,
Madagascar,"['3,3', '4,4', '3,3', '4,4', '3,6', '3,9', '3,7']","[33.0, 90.0, 4.0, 16.0, 63.0, 347.0, 30.0]",0.0,1958.0,0.0,,1.0,35563.0,193526.0,,,,,,,,
Malawi,"['3.9', '4.1', '4.5', '5.0']","[51.0, 43.0, 17.0, 1.0]",0.0,1964.0,0.0,,1.0,191362.0,311052.0,,,,,,,,
Malaysia,"['4.3', '4.6', '4.7', '4.6', '4.5', '4.6', '4.5', '4.6', '4.3', '4.9', '4.6', '4.4', '4.5', '4.3', '4.5', '4.7', '4.4', '4.3', '4.1', '4.1', '4.2', '4.4', '4.1', '4.5', '4.4', '4.3', '4.7']","[12000.0, 1000.0, 4000.0, 4000.0, 233.0, 6000.0, 653.0, 4000.0, 2000.0, 450.0, 3000.0, 1000.0, 477.0, 1000.0, 612.0, 202.0, 1000.0, 274.0, 2000.0, 727.0, 4000.0, 77.0, 322.0, 1000.0, 816.0, 4000.0, 85.0]",0.0,1957.0,8.0,200.0,1.0,3476560.0,1860037.0,,,,,,,,
Maldives,"['4.1', '3.8', '3.0', '5.0']","[388.0, 4.0, 2.0, 2.0]",0.0,1965.0,0.0,,2.0,70079.0,3715.0,,,,,,,,
Mali,"['4,1', '4,0', '4,2', '3,1', '3,4', '5,0', '4,3', '4,0', '4,4', '4,1', '3,9']","[1000.0, 132.0, 161.0, 11.0, 8.0, 1.0, 3.0, 259.0, 7.0, 2000.0, 321.0]",0.0,1959.0,0.0,,2.0,485829.0,1303511.0,,,,,,,,
Malta,[],[],0.0,1964.0,0.0,,2.0,114760.0,102793.0,,,,,,,,
Marshall Islands,['4.2'],[34.0],0.0,1986.0,0.0,,,3298.0,10886.0,,,,,,,,
Mauritania,"['4.2', '3.3']","[131.0, 3.0]",0.0,1960.0,0.0,,1.0,182286.0,130226.0,,,,,,,,
Mauritius,"['4.2', '4.6', '4.3', '4.9', '4.2', '4.4', '4.8', '4.5', '4.3', '4.2', '4.5', '4.4', '4.9', '3.9', '4.3', '3.8', '4.2', '4.2', '4.2', '4.5', '4.3', '3.0', '3.8', '4.3', '4.5', '4.2']","[903.0, 60.0, 314.0, 7.0, 276.0, 3000.0, 8.0, 1000.0, 265.0, 734.0, 132.0, 22.0, 19.0, 17.0, 285.0, 19.0, 43.0, 209.0, 634.0, 722.0, 48.0, 1.0, 53.0, 4.0, 13.0, 16.0]",0.0,1968.0,0.0,,2.0,28893.0,182973.0,,,,,,,,
Mexico,"['4.8', '4.8', '4.5', '4.7', '4.8', '4.8', '4.5', '4.6', '4.5', '4.7', '4.8', '4.7', '4.8', '4.7', '4.4', '4.8', '4.7', '4.7', '4.5', '4.7', '4.6', '4.5', '4.6', '4.6', '4.5', '4.5', '4.7']","[74000.0, 22000.0, 38000.0, 14000.0, 165000.0, 9000.0, 9000.0, 15000.0, 25000.0, 8000.0, 56000.0, 15000.0, 31000.0, 13000.0, 1000.0, 76000.0, 7000.0, 20000.0, 6000.0, 8000.0, 14000.0, 4000.0, 3000.0, 6000.0, 6000.0, 6000.0, 598.0]",3.0,1821.0,2.0,138.0,2.0,1197624.0,11185737.0,,,,,,,,
Micronesia,"['4.1', '4.4', '4.6', '3.5', '5.0', '4.3', '4.3']","[7.0, 49.0, 263.0, 2.0, 1.0, 7.0, 354.0]",0.0,,0.0,,,2832.0,24945.0,,,,,,,,
Moldova,"['4,6', '4,7', '4,6', '4,9', '4,6', '4,8', '4,8', '4,8', '4,8', '4,9', '4,6', '4,7', '4,7', '4,8', '4,7', '4,6', '4,4', '4,7', '4,6', '5,0', '4,6', '4,8', '4,3', '4,5', '4,2']","[2000.0, 2000.0, 411.0, 32.0, 1000.0, 44.0, 110.0, 930.0, 183.0, 8.0, 1000.0, 4000.0, 80.0, 113.0, 1000.0, 52.0, 5.0, 1000.0, 85.0, 9.0, 34.0, 191.0, 154.0, 49.0, 35.0]",0.0,1991.0,0.0,,2.0,104438.0,1159443.0,,,,,,,,
Mongolia,"['4.4', '4.4', '4.4', '4.2', '4.3', '4.4', '4.3', '4.2', '4.5', '4.4', '4.3', '4.4', '4.4', '4.7', '4.5', '4.6', '4.2', '4.5', '4.8', '4.6', '4.8', '4.0', '1.0', '5.0']","[1000.0, 511.0, 1000.0, 590.0, 185.0, 184.0, 171.0, 41.0, 449.0, 317.0, 243.0, 25.0, 572.0, 120.0, 58.0, 72.0, 72.0, 2000.0, 12.0, 28.0, 4.0, 62.0, 1.0, 2.0]",0.0,1911.0,0.0,,2.0,21345.0,82098.0,,,,,,,,
Montenegro,"['4,6', '4,4', '4,6', '4,3', '4,7', '4,3', '4,4', '4,5', '4,6', '4,7', '4,7', '4,7', '4,3', '4,7', '4,7', '4,2', '4,6', '2,0']","[287.0, 17.0, 187.0, 469.0, 159.0, 154.0, 667.0, 320.0, 2000.0, 15.0, 224.0, 48.0, 606.0, 43.0, 2000.0, 869.0, 1000.0, 1.0]",0.0,2006.0,0.0,,1.0,70999.0,132965.0,,,,,,,,
Morocco,"['4,0', '4,3', '4,5', '4,6', '4,3', '4,5', '4,4', '4,1', '4,5', '4,6', '4,3', '4,6', '4,4', '4,3', '4,3', '4,4', '4,3', '4,2', '4,5', '4,5', '4,2', '4,2', '4,4', '4,3', '4,0', '4,5']","[1000.0, 297.0, 1000.0, 982.0, 502.0, 320.0, 823.0, 348.0, 2000.0, 45.0, 164.0, 868.0, 95.0, 4000.0, 147.0, 223.0, 1000.0, 397.0, 977.0, 333.0, 3000.0, 153.0, 1000.0, 164.0, 353.0, 247.0]",1.0,1956.0,0.0,,0.0,102358.0,3262222.0,,,,,,,,
Mozambique,"['4,4', '3,9', '4,1', '4,2', '4,5', '3,8', '5,0', '4,0', '3,7', '4,5', '3,8', '4,1']","[141.0, 498.0, 388.0, 222.0, 157.0, 86.0, 1.0, 9.0, 106.0, 155.0, 5.0, 1000.0]",0.0,1975.0,0.0,,1.0,338850.0,640160.0,,,,,,,,
Myanmar,"['4,2', '4,3', '4,6', '4,2', '4,4', '4,1', '4,8', '3,9', '3,7', '4,0', '4,0', '4,0', '4,1', '4,0', '4,0', '4,3', '3,7', '3,7', '4,3', '4,0']","[1000.0, 473.0, 175.0, 571.0, 11.0, 78.0, 15.0, 34.0, 40.0, 113.0, 35.0, 4.0, 267.0, 3.0, 127.0, 83.0, 3.0, 69.0, 3.0, 12.0]",1.0,,0.0,,1.0,76446.0,3711751.0,,,,,,,,
Namibia,"['4.1', '4.4', '4.6', '4.0', '4.5', '3.8', '4.6', '4.3', '4.1', '4.5', '4.4', '4.2', '4.3', '3.9', '3.9', '1.0', '4.0', '4.2', '4.5', '3.7', '2.4']","[570.0, 848.0, 25.0, 4.0, 265.0, 29.0, 100.0, 11.0, 43.0, 2.0, 63.0, 19.0, 56.0, 37.0, 19.0, 1.0, 11.0, 43.0, 2.0, 126.0, 5.0]",0.0,1990.0,0.0,,2.0,109391.0,47770.0,,,,,,,,
Nepal,"[4.2, 4.6, 4.6, 4.4, 4.2, 4.4, 4.2, 4.3, 4.6, 4.6, 4.3, 4.5, 4.2, 5.0, 4.2, 4.4, 4.2, 4.1, 4.3, 4.4, 4.2, 4.0, 4.2, 2.5]","[1000.0, 1000.0, 305.0, 4000.0, 745.0, 4000.0, 236.0, 580.0, 37.0, 221.0, 29.0, 2.0, 172.0, 2.0, 38.0, 63.0, 129.0, 7.0, 454.0, 160.0, 23.0, 1000.0, 33.0, 6.0]",0.0,1768.0,0.0,,2.0,487564.0,2599701.0,,,,,,,,
