Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Bahamas,"['4,4', '4,8', '4,4', '4,8', '4,7', '4,2', '4,1', '4,6', '4,7', '4,7', '4,8', '3,4', '4,4', '4,8', '4,8', '4,6', '5,0', '4,8', '4,9']","[60.0, 11.0, 1000.0, 28.0, 61.0, 9.0, 23.0, 373.0, 17.0, 205.0, 150.0, 8.0, 408.0, 5.0, 4.0, 19.0, 5.0, 13.0, 12.0]",0.0,1964.0,0.0,,,63583.0,53793.0,,,,,,,,
Bahrain,"[4.6, 4.5, 4.6, 4.7, 3.7, 5.0, 4.0]","[1000.0, 112.0, 790.0, 58.0, 10.0, 2.0, 157.0]",0.0,1971.0,0.0,,0.0,936094.0,58270.0,,,,,,,,
Bangladesh,"[4.5, 4.6, 4.6, 4.4, 4.4, 4.6, 4.5, 4.3, 4.4, 4.4, 4.5, 4.5, 4.4, 4.4, 4.3, 4.3, 4.4, 4.5, 4.3, 4.5, 4.4, 4.5, 4.5, 4.6, 4.4, 4.5]","[14000.0, 4000.0, 14000.0, 3000.0, 8000.0, 4000.0, 1000.0, 419.0, 811.0, 219.0, 2000.0, 947.0, 13000.0, 293.0, 946.0, 283.0, 17000.0, 361.0, 546.0, 254.0, 52.0, 2.0, 20.0, 68.0, 37.0, 799.0]",1.0,1971.0,0.0,,1.0,2115408.0,7401763.0,,,,,,,,
Barbados,['4.3'],[729.0],0.0,,0.0,,3.0,34869.0,99611.0,,,,,,,,
Belarus,"['4,7', '4,8', '4,5', '4,6', '4,6', '4,2', '4,5', '4,1', '4,8', '4,7', '4,4', '4,8', '4,3', '4,8', '4,6', '4,6', '4,6', '4,3', '4,7', '4,8', '4,6', '4,8', '4,8', '4,5', '4,5', '4,8']","[3000.0, 7000.0, 1000.0, 202.0, 4000.0, 195.0, 892.0, 436.0, 1000.0, 1000.0, 240.0, 12.0, 123.0, 2000.0, 589.0, 216.0, 1000.0, 122.0, 78.0, 13000.0, 138.0, 75.0, 14.0, 56.0, 2.0, 44.0]",3.0,1990.0,1.0,387.0,1.0,1067090.0,1483626.0,,,,,,,,
Belgium,"['4,5', '4,3', '4,5', '4,5', '4,5', '4,4', '4,4', '4,5', '4,6', '4,4', '4,6', '4,6', '4,5', '4,5', '4,1', '4,6', '4,5', '4,8', '4,4', '4,5', '4,3', '4,7', '4,2', '4,5', '4,6', '4,4', '4,6']","[8000.0, 6000.0, 17000.0, 6000.0, 12000.0, 2000.0, 5000.0, 2000.0, 5000.0, 88000.0, 3000.0, 9000.0, 5000.0, 296.0, 7000.0, 9000.0, 511.0, 168.0, 1000.0, 3000.0, 3000.0, 3000.0, 2000.0, 4000.0, 3000.0, 6000.0, 3000.0]",11.0,1830.0,7.0,217.0,3.0,2005479.0,577463.0,4942.0,1834.5,1.5,2.0,1.5,2.0,,7.9
Belize,['4.4'],[424.0],0.0,1981.0,0.0,,,62043.0,52756.0,,,,,,,,
Benin,"['4,3', '3,6', '3,9', '3,9', '3,9', '4,2', '4,2', '4,0', '3,8', '5,0', '4,2', '3,9', '3,0', '4,3']","[427.0, 106.0, 1000.0, 332.0, 335.0, 359.0, 6.0, 57.0, 84.0, 2.0, 292.0, 270.0, 7.0, 4.0]",0.0,,0.0,,1.0,394276.0,681827.0,,,,,,,,
Bermuda,"['4.6', '4.6', '4.3', '4.3', '4.7', '4.6', '4.6', '4.4', '4.8', '5.0', '4.9', '5.0']","[691.0, 8.0, 21.0, 12.0, 22.0, 34.0, 257.0, 8.0, 9.0, 6.0, 7.0, 5.0]",0.0,,0.0,,,19739.0,21107.0,,,,,,,,
Bhutan,"['4.3', '4.2', '4.4', '4.3', '4.4', '4.7', '4.4', '4.3']","[1000.0, 621.0, 943.0, 405.0, 33.0, 35.0, 7.0, 12.0]",0.0,,0.0,,2.0,53612.0,51998.0,,,,,,,,
