Country,Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Annee_Souverainete,Nb_Univtop500,Mean_Rank_Univ,Political_Regime,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Primary,Lower_Secondary,Break_1,Break_2,Break_3,Break_4,Break_5,End_Of_The_School_Year_Break,Literacy_Rate_2021,Global_rank_Literacy_rate,Continent,Area,Nb_graduates,Population,Education_Spending_2021,Gdp,Averageiqbycountry_Iqlynnbecker2019,Averageiqbycountry_Sourcelynnbecker2019,Averageiq_Ici2017Grade,Averageiq_Ici2017Score,Averageiqpisa2022Meanscoremathematics,Averageiqpisa2022Meanscorereading,Averageiqpisa2022Meanscorescience,Gdp_Percapita,Indice_Evolution,Nb_Foreign_Students
Botswana,3.857142857142857,93.28571428571429,0.0,1885.0,0.0,,3.0,110268.0,63561.0,,,,,,,,,,,africa,582000.0,,2630296.0,,18737066311.1597,69.45,T,D+,23.9,,,,7123.558075273543,51.248619246572254,
Brazil,4.729629629629629,21667.185185185186,1.0,1822.0,4.0,274.0,2.0,1079708.0,1897128.0,4000.0,3200.0,,,,,,,,,south-america,8510346.0,,215313498.0,,1649622821885.14,83.38,T,C+,36.2,383.0,409.0,411.0,7661.492833510791,37.92818234411283,0.246
British Virgin Islands,4.08,8.2,0.0,,0.0,,,22164.0,5355.0,,,,,,,,,,,north-america,151.0,,31305.0,,1026999999.9999999,76.69,E,,,385.0,415.0,411.0,,,
Brunei,4.074999999999999,152.25,0.0,1984.0,1.0,387.0,,,,,,,,,,,,97.59,21.0,asia,5765.0,,449002.0,,14006496617.4458,87.58,E,,,463.0,475.0,483.0,31194.731020008378,779.8682755002094,
Bulgaria,4.592307692307693,2610.076923076923,1.0,1878.0,0.0,,2.0,184363.0,1683626.0,2028.0,2207.0,1.2,1.2,,,,10.8,98.42,16.0,europe,110879.0,,6465097.0,4.49,84041493015.6618,90.99,T,B-,43.3,418.0,381.0,411.0,12999.262503820408,89.03604454671512,7.19
Burkina Faso,3.475,85.75,0.0,1958.0,0.0,,2.0,723989.0,1599347.0,,,,,,,,,,,africa,274200.0,,22673762.0,5.22,19642668879.7694,73.8,T,,,487.0,489.0,498.0,866.3171501830795,13.126017427016356,
Burundi,4.733333333333333,15.0,0.0,1962.0,0.0,,1.0,344767.0,551105.0,,,,,,,,,,,africa,27834.0,,12889576.0,4.87,2775798697.47186,72.09,E,D-,8.8,489.0,489.0,494.0,215.3522115445737,3.4734227668479627,
Cambodia,4.318181818181818,1149.9545454545455,0.0,1953.0,0.0,,1.0,79341.0,1104819.0,,,,,,,,,,,asia,181035.0,,16767842.0,1.67,26961061151.7337,99.75,T,D,16.1,339.0,351.0,360.0,1607.9028626184397,22.64651919180901,
Cameroon,3.9565217391304346,141.04347826086956,0.0,1960.0,0.0,,1.0,579209.0,441015.0,,,,,,,,,,,africa,475650.0,,27914536.0,2.83,44993521774.066,67.76,E,D,17.8,,,,1611.8312614641347,25.184863460377105,
Canada,4.637037037037037,7333.333333333333,27.0,1867.0,19.0,226.0,3.0,8049323.0,1292329.0,5531.0,2774.0,,,,,,,,,north-america,9984670.0,232349.0,38929902.0,4.59,2007472181464.15,99.52,T,A,61.2,,,,51566.330207154126,328.4479631028925,16.221
Cape Verde,4.246153846153846,57.61538461538461,0.0,,0.0,,2.0,15788.0,187558.0,,,,,,,,,,,africa,4033.0,,593149.0,6.04,1997866378.77119,52.5,E,,,343.0,365.0,373.0,3368.23695019496,,
Cayman Islands,4.55,181.0,0.0,,0.0,,,29242.0,1908.0,,,,,,,,,,,north-america,264.0,,68706.0,,6028373513.49405,82.24,E,,,510.0,511.0,526.0,87741.58753957515,,
Central African Republic,4.8,5.0,0.0,1958.0,0.0,,1.0,88546.0,816668.0,,,,,,,,,,,africa,622984.0,,5579144.0,1.87,2516498412.46384,62.55,E,,,,,,451.0545726125441,6.834160191099153,
Chad,4.2,130.0,0.0,1960.0,0.0,,1.0,547494.0,222303.0,,,,,,,,,,,africa,1284000.0,,17723315.0,2.89,11779981332.8631,78.87,E,D-,10.3,484.0,490.0,511.0,664.6601571355641,10.385314955243189,
Chile,4.622222222222222,4912.666666666667,2.0,1818.0,3.0,224.0,2.0,1645015.0,643800.0,6165.0,2132.0,,,,,,,,,south-america,756102.0,,19603733.0,,316581155648.871,87.89,T,C+,37.8,474.0,474.0,487.0,16149.024048066303,78.39332062168108,0.819
China,4.365384615384615,1051.3846153846155,8.0,1368.0,29.0,289.0,0.0,1039675.0,10461170.0,,,,,,,,,,,asia,9596960.0,,1412175000.0,3.3,17820459508852.2,104.1,T,B,47.3,390.0,374.0,384.0,12619.158042630836,19.236521406449445,
Colombia,4.592592592592593,6342.222222222223,2.0,1810.0,3.0,257.0,2.0,1905393.0,3024273.0,5000.0,4800.0,1.0,3.0,1.0,,,7.2,,,south-america,1138910.0,,51874024.0,,318511813576.97,83.13,T,C-,27.9,475.0,480.0,492.0,6140.102290444443,28.692066777777768,0.219
Comoros,4.5,12.0,0.0,1975.0,0.0,,1.0,12496.0,150823.0,,,,,,,,,,,africa,1861.0,,836774.0,2.27,1296089479.45831,77.07,E,,,,,,1548.9122265489964,31.610453603040742,
DR Congo,4.216666666666668,227.83333333333334,1.0,1960.0,0.0,,1.0,952871.0,1832069.0,,,,,,,,,,,africa,2344858.0,,99010212.0,2.66,55328482783.5393,64.92,T,,,492.0,516.0,504.0,558.8159207611766,8.731498761893384,
Cook Islands,4.425000000000001,46.5,0.0,,0.0,,,4579.0,21106.0,,,,,,,,,,,oceania,236.0,,,,287000000.0,83.96,E,,,430.0,438.0,441.0,,,
Costa Rica,4.603846153846154,1245.1923076923076,1.0,1821.0,0.0,,3.0,520729.0,150241.0,6880.0,3360.0,1.2,2.0,,,,7.6,98.04,19.0,north-america,51100.0,,5180829.0,6.28,64960725734.2362,88.34,T,C,32.4,344.0,374.0,373.0,12538.67397172078,61.76686685576739,
Croatia,4.555555555555556,1655.7777777777778,3.0,1991.0,0.0,,2.0,528056.0,1039526.0,1890.0,2651.0,2.0,1.0,1.4,,,10.4,99.45,9.0,europe,56594.0,,3855600.0,5.2,69081236641.2469,95.75,T,C+,38.5,,,,17917.117087158134,542.942942035095,2.95
Cuba,4.3730769230769235,141.30769230769232,0.0,1898.0,0.0,,0.0,3024.0,1757300.0,,,,,,,,,,,north-america,109884.0,,11212191.0,,107351800000.0,83.9,T,,,,,,9574.560404830778,75.9885746415141,
Cyprus,4.526923076923077,234.92307692307693,1.0,1960.0,1.0,368.0,3.0,190366.0,173210.0,,,,,,,,,99.36,11.0,asia,9251.0,,1251488.0,5.62,29482917678.8954,93.39,T,C+,38.5,540.0,500.0,520.0,23558.290354278583,368.0982867856029,
Czech Republic,4.473076923076923,4733.923076923077,6.0,1918.0,0.0,,,540921.0,1026108.0,3434.0,3550.0,0.6,0.2,1.4,1.0,0.6,9.0,,,europe,78871.0,,10672118.0,5.05,281791218507.1,94.92,T,B+,51.8,473.0,473.0,486.0,26404.43241979708,249.09841905468943,
Denmark,4.470370370370371,4913.333333333333,14.0,958.0,5.0,207.0,3.0,717574.0,257025.0,7000.0,3600.0,1.0,1.6,1.0,1.2,,6.0,,,europe,42947.0,50332.0,5903037.0,6.04,405687998852.691,97.83,T,A,60.3,459.0,436.0,447.0,68725.30171379427,64.47026427185203,10.491
Djibouti,4.742857142857143,18.714285714285715,0.0,1977.0,0.0,,1.0,119738.0,18365.0,,,,,,,,,,,africa,23200.0,,1120849.0,,3385825228.86997,68.41,E,,,,,,3020.768389738466,64.27166786677587,
