Country,Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Annee_Souverainete,Nb_Univtop500,Mean_Rank_Univ,Political_Regime,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Primary,Lower_Secondary,Break_1,Break_2,Break_3,Break_4,Break_5,End_Of_The_School_Year_Break,Literacy_Rate_2021,Global_rank_Literacy_rate,Continent,Area,Nb_graduates,Population,Education_Spending_2021,Gdp,Averageiqbycountry_Iqlynnbecker2019,Averageiqbycountry_Sourcelynnbecker2019,Averageiq_Ici2017Grade,Averageiq_Ici2017Score,Averageiqpisa2022Meanscoremathematics,Averageiqpisa2022Meanscorereading,Averageiqpisa2022Meanscorescience,Gdp_Percapita,Indice_Evolution,Nb_Foreign_Students
Liechtenstein,4.3999999999999995,114.5,0.0,1813.0,0.0,,,25877.0,3706.0,,,,,,,,,,,europe,160.0,,39327.0,,7710380085.92257,101.07,E,,,,,,196058.1810441317,929.1856921522832,
Lithuania,4.637037037037037,2468.8888888888887,3.0,1918.0,1.0,473.0,2.0,145184.0,658057.0,2576.0,5053.0,1.0,2.0,1.0,1.0,,12.0,99.83,6.0,europe,65286.0,,2831639.0,4.84,66798933785.7702,95.89,T,B,46.3,389.0,383.0,390.0,23590.20121765882,222.5490680911209,5.992
Luxembourg,4.444444444444445,544.6666666666666,2.0,1839.0,1.0,381.0,3.0,298062.0,81757.0,5544.0,2535.0,1.0,2.0,1.0,2.0,1.0,8.8,,,europe,2586.0,854.0,653103.0,4.64,85584105993.8746,99.87,E,B+,53.8,,,,131042.2796922914,708.336646985359,48.648
Macau,4.136842105263159,216.0,0.0,,1.0,254.0,,403490.0,145192.0,,,,,,,,,,,asia,33.0,,695168.0,5.25,30969334705.0515,99.82,E,,,440.0,440.0,447.0,44549.42503833821,,
Madagascar,3.8,83.28571428571429,0.0,1958.0,0.0,,1.0,35563.0,193526.0,,,,,,,,,,,africa,587041.0,,29611714.0,3.2,14554754116.5427,76.79,E,D-,9.0,575.0,543.0,561.0,491.5201503210081,7.447275004863759,
Malawi,4.375,28.0,0.0,1964.0,0.0,,1.0,191362.0,311052.0,,,,,,,,,,,africa,118484.0,,20405317.0,,12602334121.6286,69.7,T,D-,10.7,464.0,447.0,462.0,617.6005068496902,10.29334178082817,
Malaysia,4.448148148148148,2034.3703703703704,0.0,1957.0,8.0,200.0,1.0,3476560.0,1860037.0,,,,,,,,,,,asia,329847.0,,33938221.0,4.27,373832428055.449,87.58,T,C+,35.5,485.0,469.0,500.0,11015.086148901231,164.4042708791229,
Maldives,3.9749999999999996,99.0,0.0,1965.0,0.0,,2.0,70079.0,3715.0,,,,,,,,,97.86,20.0,asia,300.0,,523787.0,4.48,5254366310.44801,80.54,E,,,,,,10031.494310565193,170.02532729771514,
Mali,4.045454545454546,354.8181818181818,0.0,1959.0,0.0,,2.0,485829.0,1303511.0,,,,,,,,,,,africa,1240192.0,,22593590.0,4.36,19309463508.0377,59.76,T,D-,9.9,527.0,515.0,528.0,854.643441260893,13.14836063478297,
Malta,0.0,0.0,0.0,1964.0,0.0,,2.0,114760.0,102793.0,,,,,,,,,94.94,25.0,europe,315.0,,531113.0,5.63,18087205251.3605,91.27,T,B-,40.8,473.0,474.0,485.0,34055.286259911736,567.5881043318623,
Marshall Islands,4.2,34.0,0.0,1986.0,0.0,,,3298.0,10886.0,,,,,,,,,,,oceania,181.0,,41569.0,,257784881.591797,83.96,T,,,,,,6201.373176929851,163.19403097183817,
Mauritania,3.75,67.0,0.0,1960.0,0.0,,1.0,182286.0,130226.0,,,,,,,,,66.96,37.0,africa,1030700.0,,4736139.0,1.75,9222536364.01272,59.76,E,D-,11.6,482.0,487.0,494.0,1947.268938688818,30.42607716701278,
Mauritius,4.2846153846153845,338.61538461538464,0.0,1968.0,0.0,,2.0,28893.0,182973.0,,,,,,,,,92.15,31.0,africa,2040.0,,1262523.0,4.67,11484357947.9086,86.56,T,C,31.7,508.0,483.0,503.0,9096.355431076188,162.43491841207475,
Mexico,4.648148148148149,24133.25925925926,3.0,1821.0,2.0,138.0,2.0,1197624.0,11185737.0,,,,,,,,,,,north-america,1964375.0,498441.0,127504125.0,,1312557512901.28,87.73,T,C,30.7,547.0,515.0,537.0,10294.235679836083,50.71052059032554,0.707
Micronesia,4.314285714285715,97.57142857142857,0.0,,0.0,,,2832.0,24945.0,,,,,,,,,,,oceania,,,114164.0,,406000000.0,83.96,E,,,,,,3556.2874461301285,,
Moldova,4.668,581.0,0.0,1991.0,0.0,,2.0,104438.0,1159443.0,,,,,,,,,99.6,8.0,europe,33847.0,,2538894.0,5.82,13692230147.0588,89.98,E,C,31.5,,,,5392.990076410752,163.42394170941674,
Mongolia,4.304166666666667,321.625,0.0,1911.0,0.0,,2.0,21345.0,82098.0,,,,,,,,,,,asia,1564116.0,,3398366.0,3.34,15286441737.6686,91.03,T,C-,27.4,394.0,379.0,409.0,4498.174045311364,39.80684995850765,
Montenegro,4.388888888888889,503.6666666666667,0.0,2006.0,0.0,,1.0,70999.0,132965.0,,,,,,,,,98.98,14.0,europe,13812.0,,617213.0,,5861427505.12493,85.78,E,C,34.6,,,,9496.604097977408,527.5891165543004,
Morocco,4.3538461538461535,786.0769230769231,1.0,1956.0,0.0,,0.0,102358.0,3262222.0,,,,,,,,,,,africa,446550.0,,37457971.0,5.6,141817797083.468,67.03,T,D+,22.6,,,,3786.051227480207,55.67722393353245,
Mozambique,4.166666666666667,230.66666666666666,0.0,1975.0,0.0,,1.0,338850.0,640160.0,,,,,,,,,,,africa,799380.0,,32969518.0,7.03,16168056388.9101,72.5,E,D-,10.9,453.0,456.0,476.0,490.394078218253,10.008042412617408,
Myanmar,4.115,155.8,1.0,,0.0,,1.0,76446.0,3711751.0,,,,,,,,,,,asia,676578.0,,54179306.0,,66262813093.4824,91.18,E,,,,,,1223.028089239135,,
Namibia,3.9714285714285715,108.52380952380952,0.0,1990.0,0.0,,2.0,109391.0,47770.0,,,,,,,,,92.25,30.0,africa,824292.0,,2567012.0,10.03,12446290854.8973,66.19,T,D,18.9,,,,4848.551878564378,142.60446701659936,
Nepal,4.2749999999999995,593.4166666666666,0.0,1768.0,0.0,,2.0,487564.0,2599701.0,,,,,,,,,71.15,36.0,asia,147181.0,,30547580.0,3.96,36924841428.7182,42.99,T,D,18.3,431.0,417.0,432.0,1208.7648654563864,4.721737755689009,
Netherlands,4.507407407407408,17888.88888888889,22.0,1945.0,13.0,168.0,3.0,2358333.0,970403.0,5640.0,3000.0,1.0,2.0,1.0,1.0,,6.2,,,europe,41865.0,150893.0,17700982.0,5.14,1029678338329.44,100.74,T,A-,58.7,489.0,494.0,500.0,58170.690096709885,736.3378493254415,12.673
New Caledonia,4.377777777777778,123.66666666666667,0.0,,0.0,,,73141.0,5839.0,,,,,,,,,,,oceania,18575.0,,269220.0,,10071349663.8484,93.92,E,,,465.0,504.0,499.0,37409.36655467053,,
New Zealand,4.603703703703704,2570.8518518518517,3.0,1907.0,8.0,254.0,3.0,1381724.0,806159.0,,,2.2,2.0,2.0,,,6.4,,,oceania,268838.0,50116.0,5124100.0,5.54,255551704625.831,98.57,T,A-,57.3,409.0,430.0,435.0,49872.50534256377,426.260729423622,20.769
Nicaragua,4.411538461538462,185.15384615384616,0.0,1821.0,0.0,,1.0,42167.0,718154.0,,,,,,,,,,,north-america,130373.0,,6948392.0,4.09,14145880399.1935,52.69,T,D+,22.5,364.0,336.0,355.0,2035.8495029056364,10.02881528524944,
Niger,3.733333333333333,360.0,0.0,1958.0,0.0,,2.0,348056.0,399707.0,,,,,,,,,,,africa,1267000.0,,26207977.0,3.82,14915002435.9913,70.82,E,,,,,,569.1016302399571,8.622751973332683,
Nigeria,4.172,547.56,1.0,1960.0,0.0,,2.0,1308568.0,1670455.0,,,,,,,,,,,africa,923768.0,,218541212.0,,440838992188.478,67.76,T,D-,13.9,469.0,462.0,472.0,2017.189289626883,31.518582650420047,
North Korea,4.666666666666667,1333.6666666666667,0.0,1948.0,0.0,,0.0,49549.0,110377.0,,,,,,,,,,,asia,120538.0,,,,18000000000.0,98.82,E,,,,,,,,
North Macedonia,4.466666666666667,611.3809523809524,1.0,,0.0,,2.0,131311.0,693896.0,,,,,,,,,,,europe,25713.0,,2057679.0,,13998355971.3044,81.91,E,C-,28.3,,,,6802.983347404721,,
Northern Mariana Islands,4.4,70.0,0.0,,0.0,,,21843.0,2741.0,,,,,,,,,,,oceania,457.0,,49551.0,,858000000.0,81.36,E,,,,,,17315.493128292062,,
Norway,4.448148148148149,3080.222222222222,14.0,1945.0,3.0,230.0,3.0,852238.0,191392.0,5272.0,2622.0,0.8,1.8,1.0,1.2,,7.0,,,europe,386224.0,40107.0,5457127.0,5.04,503367986030.268,97.13,T,B+,55.0,,,,92240.4748927903,1167.6009480100038,4.276
Oman,4.322222222222222,613.6111111111111,0.0,1605.0,1.0,454.0,0.0,2372836.0,25099.0,,,,,,,,,,,asia,309500.0,,4576298.0,,88191977373.212,78.7,T,C-,27.1,,,,19271.467324289635,45.99395542789889,
Pakistan,4.456,3630.32,2.0,1947.0,2.0,341.0,1.0,3276580.0,6328400.0,,,,,,,,,,,asia,882363.0,,235824862.0,1.69,348516647445.148,80.0,T,D,19.6,,,,1477.8621918377207,19.19301547841196,
Palestine,4.536363636363637,187.45454545454547,1.0,,0.0,,0.0,272784.0,4022791.0,,,,,,,,,,,asia,,,,5.43,17129999999.999998,77.69,T,,,,,,,,
Panama,4.389473684210526,744.8421052631579,0.0,1821.0,0.0,,2.0,313165.0,139520.0,,,,,,,,,,,north-america,75320.0,,4408581.0,3.27,67406738100.0,79.0,E,C-,28.8,,,,15289.894435420376,75.31967702177525,
Papua New Guinea,4.220000000000001,54.6,0.0,1973.0,0.0,,1.0,31068.0,4810.0,,,,,,,,,,,oceania,462840.0,,10142619.0,,26113333244.5115,78.49,E,,,,,,2574.61443089911,50.48263589998256,
Paraguay,4.503703703703703,416.48148148148147,0.0,1811.0,0.0,,2.0,169567.0,896484.0,,,,,,,,,,,south-america,406752.0,,6780744.0,3.41,39950899938.7482,84.04,E,D+,24.5,,,,5891.816582184521,27.66111071448132,
Peru,4.3,1037.5,1.0,1821.0,1.0,336.0,2.0,1224519.0,1519635.0,,,,,,,,,,,south-america,1285216.0,,34049588.0,3.97,223717799056.526,81.44,T,C-,28.0,,,,6570.352600346471,32.366268967223995,
Philippines,4.511111111111111,1063.148148148148,1.0,1935.0,1.0,404.0,1.0,225525.0,6094307.0,,,,,,,,,,,asia,300000.0,,115559009.0,3.88,394087359844.049,81.64,T,C-,26.6,,,,3410.269465395372,38.31763444264463,
Poland,4.633333333333333,13184.074074074075,18.0,966.0,2.0,283.0,2.0,817254.0,4825096.0,2230.0,3015.0,1.2,2.0,0.8,,,9.8,99.8,7.0,europe,312685.0,634977.0,36821749.0,4.94,681346136411.701,96.35,T,B,45.6,,,,18503.904755086485,17.489513001026925,3.857
Portugal,4.553846153846154,5718.346153846154,2.0,1139.0,5.0,323.0,3.0,1001963.0,2081419.0,5245.0,2455.0,2.2,0.6,2.0,,,10.2,96.78,23.0,europe,92225.0,94209.0,10409704.0,4.71,255534839405.899,92.77,T,B-,44.8,,,,24547.75269363077,27.73757366511952,9.711
Puerto Rico,4.626923076923077,751.8461538461538,0.0,,0.0,,,247132.0,1850529.0,,,,,,,,,92.4,29.0,north-america,9104.0,,3221789.0,,106368900000.0,81.99,T,,,,,,33015.47680496767,,
Qatar,4.455,1802.05,0.0,1971.0,2.0,242.0,0.0,2226192.0,25705.0,,,,,,,,,,,asia,11586.0,,2695122.0,,179732009554.846,80.78,T,C,31.3,,,,66687.8937409312,1258.2621460553055,
Republic of the Congo,4.333333333333333,118.33333333333333,0.0,1884.0,0.0,,,387606.0,223767.0,,,,,,,,,80.61,34.0,africa,342000.0,,5970424.0,3.67,14825708810.7046,62.97,T,,,,,,2483.191949299513,17.73708535213938,
Romania,4.661538461538462,8470.923076923076,4.0,1877.0,0.0,,2.0,705310.0,3987093.0,3600.0,4002.0,1.0,2.2,1.0,1.6,,11.0,98.9,15.0,europe,238398.0,,19047009.0,3.25,285810244501.933,86.88,T,C+,39.4,,,,15005.518425592858,102.07835663668612,
Russia,4.7555555555555555,25814.814814814814,30.0,1480.0,11.0,368.0,1.0,11636911.0,10756697.0,,,,,,,,,99.93,3.0,europe,17098246.0,,144236933.0,,1836892075547.52,96.29,T,B,46.6,,,,12735.240810670315,23.410369137261608,
Rwanda,4.4,577.0,0.0,1962.0,0.0,,1.0,513907.0,492489.0,,,,,,,,,75.9,35.0,africa,26338.0,,13776698.0,5.59,11054517345.7109,69.95,E,D-,9.9,,,,802.4068863025741,12.942046553267325,
Saint Kitts and Nevis,4.38,70.4,0.0,,0.0,,,7725.0,50285.0,,,,,,,,,,,north-america,261.0,,47657.0,,858592592.592592,70.48,E,,,,,,18016.085624201944,,
Saint Lucia,4.49375,17.875,2.0,,0.0,,,8338.0,71227.0,,,,,,,,,,,north-america,616.0,,179857.0,,1961111111.11111,73.68,E,,,,,,10903.724131455045,,
Saint Vincent and the Grenadines,4.35,86.5,0.0,,0.0,,,,,,,,,,,,,,,north-america,389.0,,103948.0,,872222222.222222,63.42,T,,,,,,8390.947610557412,,
Samoa,4.2,69.5,0.0,1962.0,0.0,,,4021.0,135732.0,,,,,,,,,99.1,13.0,oceania,2842.0,,222382.0,,843923638.733018,83.96,E,,,,,,3794.927821195142,61.20851324508293,
Sao Tome and Principe,3.9,78.2,0.0,1975.0,0.0,,2.0,2139.0,39608.0,,,,,,,,,,,africa,,,227380.0,5.52,524402450.755612,65.22,E,,,,,,2306.282218117741,47.06698404321921,
Saudi Arabia,4.407692307692308,2423.076923076923,0.0,1927.0,3.0,175.0,0.0,13454842.0,299268.0,,,,,,,,,,,asia,2149690.0,,36408820.0,,874156115900.131,76.36,T,C,30.2,,,,24009.460232441783,247.52020858187404,
Senegal,4.388235294117647,276.47058823529414,0.0,1959.0,0.0,,2.0,274929.0,693765.0,,,,,,,,,,,africa,196712.0,,17316449.0,5.59,27569136729.9023,77.37,E,D-,13.2,,,,1592.0779560464332,24.49350701609897,
Serbia,4.592592592592593,1727.2592592592594,0.0,1945.0,0.0,,1.0,823011.0,1003962.0,,,,,,,,,,,europe,88499.0,,6664449.0,3.3,63101069561.2193,89.6,T,C+,35.2,,,,9468.310067526858,119.85202617122604,
Seychelles,4.433333333333333,76.33333333333333,0.0,1976.0,0.0,,3.0,13050.0,29258.0,,,,,,,,,,,africa,457.0,,119878.0,5.62,1286687308.25807,78.76,T,,,,,,10733.306430354778,223.6105506323912,
Sierra Leone,4.033333333333333,47.0,0.0,1961.0,0.0,,2.0,53746.0,152486.0,,,,,,,,,,,africa,72300.0,,8605718.0,9.44,4249234704.01866,45.07,T,,,,,,493.76875979652834,7.837599361849656,
Singapore,4.500000000000001,3348.5714285714284,0.0,1959.0,3.0,154.0,1.0,2523648.0,348464.0,,,,,,,,,,,asia,733.0,,5637022.0,2.83,423797100521.555,105.89,T,A,63.6,,,,75181.02652811272,1156.6311773555803,
Slovakia,4.566666666666666,886.7777777777778,0.0,1993.0,0.0,,3.0,197161.0,419651.0,2707.0,4117.0,2.2,1.0,0.8,,,9.0,,,europe,49035.0,71551.0,5431752.0,4.4,118576482542.583,96.32,T,B-,43.6,,,,21830.24603159036,704.2014848900116,
Slovenia,4.5851851851851855,716.1851851851852,1.0,1991.0,0.0,,3.0,277964.0,160197.0,4091.0,2298.0,1.0,1.2,1.0,0.8,,9.8,,,europe,20273.0,,2111986.0,5.67,61832201543.8285,98.6,T,B+,51.5,,,,29276.80464919204,887.1758984603648,6.673
Solomon Islands,4.0,29.0,0.0,1976.0,0.0,,2.0,2520.0,4270.0,,,,,,,,,,,oceania,28896.0,,724273.0,,1580303515.40945,83.96,E,,,,,,2181.916922775597,45.45660255782494,
Somalia,0.0,0.0,0.0,1960.0,0.0,,0.0,58590.0,2034221.0,,,,,,,,,,,africa,637657.0,,17597511.0,,9838711529.45863,67.67,T,,,,,,559.0967682565239,8.735887004008186,
South Africa,4.507692307692308,1264.1923076923076,11.0,1910.0,5.0,270.0,2.0,2860495.0,914901.0,,,,,,,,,90.0,32.0,africa,1219090.0,,59893885.0,6.56,420117812463.841,68.87,T,C,33.0,,,,7014.369037237124,61.52955295822039,
South Korea,4.470370370370371,2190.8518518518517,1.0,1948.0,14.0,237.0,3.0,1728182.0,2204554.0,,,,,,,,,,,asia,100432.0,420673.0,51628117.0,,1818432106880.04,102.35,T,A-,56.4,,,,35221.73986860764,463.4439456395742,
South Sudan,4.300000000000001,31.454545454545453,0.0,2011.0,0.0,,0.0,882252.0,2575870.0,,,,,,,,,,,africa,644329.0,,10913164.0,,11997800760.2242,58.61,T,,,,,,1099.3879282144203,84.56830217034005,
Spain,4.5851851851851855,29259.25925925926,8.0,1479.0,14.0,327.0,3.0,6842202.0,1489823.0,4754.0,3171.0,2.0,1.2,,,,10.6,,,europe,505370.0,284626.0,47778340.0,4.59,1445651653604.63,93.9,T,B,49.8,,,,30257.46925499358,55.518292210997394,3.698
Sri Lanka,4.42,492.76,0.0,1948.0,0.0,,2.0,40254.0,1960025.0,,,,,,,,,92.43,28.0,asia,65610.0,,22181000.0,1.51,88548049121.4972,86.62,T,D+,23.2,,,,3992.067495671845,52.52720389041901,
Sudan,4.2,93.28571428571429,0.0,1956.0,0.0,,0.0,1379147.0,2104887.0,,,,,,,,,,,africa,1861484.0,,46874204.0,,34229513773.9708,78.87,T,,,,,,730.2420276613294,10.738853347960728,
Suriname,4.181818181818182,50.54545454545455,0.0,,0.0,,2.0,47801.0,273209.0,,,,,,,,,95.0,24.0,south-america,163820.0,,618040.0,3.81,3081401725.88833,90.29,E,,,,,,4985.764231907854,,
Sweden,4.47037037037037,9089.0,34.0,1523.0,8.0,179.0,3.0,2003908.0,327581.0,4283.0,2607.0,1.0,2.4,1.0,1.2,,8.0,,,europe,447425.0,60409.0,10486941.0,6.68,639714956069.468,97.0,T,A,61.6,,,,61001.10185319704,121.75868633372664,7.152
Switzerland,4.559259259259259,3592.8518518518517,25.0,,9.0,166.0,3.0,2491249.0,713623.0,4792.0,2889.0,1.0,1.2,1.0,1.2,,4.0,,,europe,41291.0,52468.0,8775760.0,5.04,813408787222.499,99.24,T,A,61.6,,,,92688.13039810784,,17.799
Syria,4.383333333333333,101.38888888888889,0.0,1961.0,0.0,,0.0,868711.0,8457214.0,,,,,,,,,,,asia,185180.0,,22125249.0,,8969512933.38826,74.41,T,,,,,,405.39715206767886,6.434875429645696,
Taiwan,4.477777777777778,4545.740740740741,1.0,1949.0,7.0,285.0,3.0,,,,,,,,,,,,,asia,35980.0,,,,611396000.0,106.47,T,B,45.7,,,,,,
Tajikistan,0.0,0.0,0.0,,0.0,,1.0,276031.0,586851.0,,,,,,,,,,,asia,144100.0,,9952787.0,5.54,8937805347.13963,87.71,T,D+,23.1,,,,898.0203582312803,,
Tanzania,4.305000000000001,351.5,1.0,1961.0,0.0,,1.0,426017.0,327863.0,,,,,,,,,,,africa,947303.0,,65497748.0,3.12,70655628147.8986,74.95,T,D-,14.4,,,,1078.7489693217942,17.122999513044352,
Thailand,4.466666666666667,2378.6666666666665,0.0,1776.0,2.0,296.0,0.0,3632496.0,1086985.0,,,,,,,,,94.1,27.0,asia,513120.0,,71697030.0,2.99,505568063988.806,88.87,T,C-,29.2,,,,7051.450582943338,28.43326847961024,
Togo,3.7473684210526317,66.3157894736842,0.0,1958.0,0.0,,1.0,279936.0,545409.0,,,,,,,,,,,africa,56785.0,,8848699.0,4.23,8443112143.23844,59.83,E,,,,,,954.1642385212152,14.457033916988111,
Tonga,3.8,12.0,0.0,1970.0,0.0,,,3742.0,74550.0,,,,,,,,,99.4,10.0,oceania,747.0,,106858.0,4.93,469228219.665791,83.96,E,,,,,,4391.137955658827,81.31736954923754,
Tunisia,0.0,0.0,2.0,1956.0,0.0,,2.0,60145.0,902268.0,,,,,,,,,,,africa,163610.0,,12356117.0,,46687293140.3377,79.22,E,D+,24.8,,,,3778.4761297046393,55.56582543683293,
Turkey,0.0,0.0,2.0,,3.0,390.0,1.0,6052652.0,3411408.0,2880.0,3371.0,1.0,2.0,1.0,,,12.0,,,asia,783562.0,374943.0,84979913.0,2.85,819865253669.661,86.8,T,C,33.4,,,,9647.753506992423,,
Turkmenistan,0.0,0.0,0.0,1991.0,0.0,,1.0,194920.0,242554.0,,,,,,,,,,,asia,488100.0,,6430770.0,,50007428571.4286,85.86,E,,,,,,7776.273847677431,235.64466205083124,
Turks and Caicos Islands,4.4799999999999995,48.6,0.0,,0.0,,,25748.0,2689.0,,,,,,,,,,,north-america,948.0,,45703.0,,1044778790.0,84.29,E,,,,,,22860.17963809816,,
Uganda,4.38,607.0,0.0,1962.0,0.0,,1.0,1720313.0,781440.0,,,,,,,,,,,africa,241550.0,,47249585.0,2.64,40510241365.8914,76.42,T,D-,12.4,,,,857.3671359418586,13.828502192610625,
Ukraine,4.655555555555556,3968.8888888888887,4.0,1991.0,0.0,,1.0,4997387.0,6139144.0,,,,,,,,,100.0,1.0,europe,603550.0,,38000000.0,5.74,199765859570.935,90.07,T,C+,38.3,,,,5256.99630449829,159.30291831813,
United Arab Emirates,4.507407407407407,3700.074074074074,0.0,1971.0,4.0,337.0,0.0,8716332.0,203214.0,,,,,,,,,98.13,18.0,asia,78157.0,,9441129.0,3.9,415178792769.884,82.05,T,C+,35.9,,,,43975.5449554692,829.7272633107397,
United Kingdom,4.662962962962963,26222.222222222223,137.0,1707.0,49.0,199.0,3.0,9359587.0,4732510.0,,,,,,,,,,,europe,243610.0,652174.0,66971395.0,5.33,3141506156618.7,99.12,T,A,64.2,,,,46908.17858309059,147.97532676053814,18.677
United States,4.707407407407407,26199.0,411.0,,82.0,214.0,3.0,50632836.0,2996223.0,5841.0,3068.0,,,,,,,,,north-america,9369417.0,2715337.0,333287557.0,,23315080560000.0,97.43,T,A+,74.9,,,,69954.84850939094,,5.189
Uruguay,4.540740740740741,1484.5185185185185,0.0,1825.0,0.0,,3.0,108267.0,367060.0,,,,,,,,,,,south-america,176215.0,,3422794.0,4.41,61412268248.9461,87.59,E,C+,37.9,,,,17942.145583095593,90.1615355934452,
Uzbekistan,4.45,189.58333333333334,0.0,1991.0,0.0,,1.0,1162007.0,2027823.0,,,,,,,,,100.0,2.0,asia,447400.0,,35648100.0,5.37,69600614987.3509,89.01,T,,,,,,1952.4354730645084,59.164711304985104,
Vanuatu,4.25,85.5,0.0,1980.0,0.0,,2.0,3257.0,7246.0,,,,,,,,,89.1,33.0,oceania,12189.0,,326740.0,,971636097.850666,93.92,E,,,,,,2973.728646173306,67.58474195848423,
Venezuela,4.340740740740741,372.74074074074076,1.0,1811.0,0.0,,1.0,1324193.0,5415337.0,,,,,,,,,,,south-america,912050.0,,28301696.0,,482359318767.703,82.99,T,C-,26.8,,,,17043.477492221773,80.01632625456232,
Vietnam,0.0,0.0,1.0,1945.0,0.0,,0.0,76767.0,3392025.0,,,,,,,,,,,asia,331340.0,,98186856.0,2.95,366137569122.215,89.53,T,C-,25.1,,,,3728.987606265904,47.20237476285955,
Yemen,4.28,48.25,1.0,1990.0,0.0,,0.0,387113.0,1301166.0,,,,,,,,,,,asia,527968.0,,33696614.0,,21606160777.1719,62.86,T,,,,,,641.1967913800449,18.858729158236617,
Zambia,3.9749999999999996,288.25,0.0,1964.0,0.0,,1.0,187955.0,200700.0,,,,,,,,,,,africa,752612.0,,20017675.0,3.11,22096416933.7902,68.43,E,D,18.9,,,,1103.8453233849684,18.39742205641614,
Zimbabwe,3.8470588235294123,161.1764705882353,0.0,1965.0,0.0,,1.0,416141.0,1243314.0,,,,,,,,,,,africa,390757.0,,16320537.0,,28371238665.8646,74.01,T,D-,11.7,,,,1738.3765415233947,29.464009178362623,
