Notes_Musees,Nbvotes_Musees_Clean,Nb_Prixnobel,Nb_Univtop500,Immigrationbycountry_Immigrants,Immigrationbycountry_Emigrants,Area,Population,Education_Spending_2021,Gdp,Gdp_Percapita,Indice_Evolution,Country
0.2769108848903458,0.09040714911780802,0.47304501982330205,0.039853959262962445,-0.17949494398195165,-0.6526383741563058,-0.17006727820769638,-0.2543169422987232,0.2787740200810754,0.00995339343120927,3.453904334973877,3.919490276116804,Norway
0.5663069810814138,-0.4614541744603876,-0.23625764707860322,-0.37064182114555094,-0.46011606183912845,-0.21909053492207692,-0.39499367005892205,-0.27306019596922254,-0.8839115602820411,-0.2502706845529479,-0.48349961953133463,-0.10731257674966876,Armenia
0.5159772252220968,0.8106552583290244,-0.18169590347076436,-0.09697796753987534,0.027494869896198825,-0.1454092606288641,-0.3305003977199161,-0.21951605546685377,-0.2231783450096095,-0.14352651297660027,0.22033542828844194,-0.28439770230851014,Greece
-0.5136856967330794,-0.4917056969239047,-0.2908193906864421,-0.37064182114555094,-0.4635345324184588,-0.6872216505010548,0.23657335990404169,-0.25936564892369585,-1.4063517770090803,-0.2527461231997589,-0.6208841222166542,-0.566426377766088,Mauritania
0.4401599647929986,-0.23393591063454203,-0.1271341598629255,-0.23380989434271313,-0.0884041290358653,0.07799115080985802,-0.28277244851981215,-0.22791096889112042,0.0585296149902649,-0.22060881654399886,-0.3680329433758017,0.18954743452606648,Belarus
0.3859586892521968,0.17897227330262702,0.5276067634311409,-0.37064182114555094,-0.2929794334325217,-0.3569181724095612,-0.3550650569515495,-0.22500509926622894,0.25828616844472085,-0.16084563086763076,0.14340013958396736,1.5708106161720352,Hungary
0.0917231934592716,-0.4392333623575643,-0.2908193906864421,-0.37064182114555094,-0.5285685715571451,-0.6573984795015374,-0.4124732435381664,-0.2836895878960655,0.08926139244479642,-0.2515436848545384,-0.29825724447078156,-0.04567915182534839,Mauritius
-0.25889130769529123,-0.4855237396371311,-0.2908193906864421,-0.37064182114555094,-0.511106940739794,-0.7587510111532233,-0.41357111950300357,-0.2888625745994583,-0.00805590282788709,-0.2548556971231553,-0.2560559174523472,-0.015736578784991306,Maldives
0.2685225922471269,4.296749694875793,0.25479804539194656,1.1345093736856648,1.5276060804102276,9.342565130243315,1.6603815672838946,9.631201476898744,0.07389550371753043,1.417129271978412,-0.6084430201312543,-0.5725667627775318,India
0.31465820178483284,1.0191961461534496,0.3093597889997854,0.5871816664743136,0.3094447099157992,-0.4343537048679169,-0.3944983639483489,-0.21070066391159223,0.8882876062626212,0.06172336538314268,1.6112171560690836,0.35888574884828045,Belgium
0.4320942987899038,5.147834923237404,0.14567455817626881,1.5450051540941783,2.360070441761347,0.08149493663054942,-0.09489053699706769,0.04203665644352647,0.04828568917208743,0.5108938840665617,0.6567100915525418,-0.4674428456509443,Spain
0.3398230797144908,3.968862687209487,3.801311379901472,1.8186690076998537,3.073473835486287,0.5632640734748002,-0.007545670509493262,0.18343760412307158,0.38633524117193635,1.315615151630613,1.2560531383769222,-0.5410236968853231,France
0.33982307971448983,-0.42419070970400224,-0.2908193906864421,-0.37064182114555094,-0.4689270075888053,-0.2539791274429068,-0.15711486567541005,-0.24504833600177184,-0.5561059341003695,-0.23641019161646556,-0.44287297468109266,-0.5773335912253896,Paraguay
-4.760258847362881,-0.504649169993087,-0.23625764707860322,-0.37064182114555094,-0.5082714289904995,1.157000567692483,-0.20469706237673393,0.3950214615779226,-0.7917162279184459,-0.0630015719806145,-0.5404779988113725,-0.5002473979932441,Vietnam
0.4908123472924388,0.9120493748925298,1.1823476867252072,2.2291647881083674,2.87185360239534,-0.030168235367453687,5.88619890753244,-0.019924385281522253,0.04828568917208743,0.8095710877152713,1.6183450199643146,0.609207533621966,Canada
0.37047261052625546,-0.37724289403598726,-0.2908193906864421,-0.37064182114555094,-0.5201243599078181,-0.05384607022285372,-0.39562147844111345,-0.27307966287355023,-0.7200087471912054,-0.24811672724712824,-0.41744793900953814,-0.4590897156635722,Albania
0.11386344663776952,-0.44251566960688193,-0.2908193906864421,-0.37064182114555094,-0.5317686975564985,-0.7144332373944281,0.5731392252256532,-0.2687333823780799,-0.5919596744639899,-0.24952240635357278,-0.5057658409016936,-0.5294211941565844,Mongolia
0.36611715088458185,-0.45926528164259034,-0.23625764707860322,-0.23380989434271313,-0.4601088543481389,-0.6629184828850149,-0.4079233679160738,-0.28376686030227277,0.5758478688082153,-0.24197522086366835,0.3543868262654059,0.765619754732923,Cyprus
-0.5166657480668541,-0.49183787693168113,-0.2908193906864421,-0.37064182114555094,-0.4221338562344562,-0.45247704691994883,-0.3779311632536762,-0.23056751508846227,-0.13610497555510256,-0.25316048372090943,-0.6657013543247008,-0.6294209082456069,Togo
0.22238698270941987,-0.02124729933138416,1.2914711739408848,1.681837080897016,0.6340009969649455,-0.3035415546263805,-0.17530995142139313,0.5836552953469915,-0.6022036002821671,2.41887554523289,1.1070583612120375,1.5180697236081828,Japan
0.2601342996039058,-0.4899026260485957,-0.2908193906864421,-0.37064182114555094,-0.535285529189333,-0.7443089906242705,-0.41347205828088895,-0.2916909407361847,0.5758478688082153,-0.2569650099919192,-0.22438425517591074,0.19564590241674684,Seychelles
0.27900795805115036,-0.4680242928383735,-0.2908193906864421,-0.37064182114555094,-0.0481621630209449,0.38568031205930003,-0.1314674735956958,-0.042905149870181666,0.4477987960809998,-0.2206476953377393,-0.6206509647557436,-0.45305848616485217,Uzbekistan
