"country","immigrationByCountry_immigrants","immigrationByCountry_percPop","immigrationByCountry_emigrants"
"New Caledonia",73141,26.89,5839
"Barbados",34869,12.13,99611
"Sao Tome and Principe",2139,0.98,39608
"Samoa",4021,2.03,135732
"Curacao",57210,36.91,7611
"Saint Lucia",8338,4.54,71227
"Guam",80472,47.68,2213
"Kiribati",3126,2.62,5103
"Grenada",7213,6.41,62204
"Micronesia",2832,2.46,24945
"Tonga",3742,3.54,74550
"Seychelles",13050,13.27,29258
"Aruba",53593,50.19,21456
"United States Virgin Islands",56753,53.39,3908
"Isle of Man",43040,50.62,12032
"Andorra",45574,58.98,11132
"Dominica",8284,11.51,78191
"Cayman Islands",29242,44.49,1908
"Bermuda",19739,30.89,21107
"Greenland",5899,10.39,17866
"Faroe Islands",6812,13.94,12927
"Northern Mariana Islands",21843,37.95,2741
"Saint Kitts and Nevis",7725,14.52,50285
"Turks and Caicos Islands",25748,66.5,2689
"Sint Maarten",28845,70.68,2191
"American Samoa",23608,42.77,1832
"Marshall Islands",3298,5.57,10886
"Liechtenstein",25877,67.87,3706
"Monaco",26601,67.79,32552
"San Marino",5543,16.34,2407
"Gibraltar",11190,33.21,13389
"British Virgin Islands",22164,73.29,5355
"Palau",5088,28.12,2656
"Cook Islands",4579,26.07,21106
"Anguilla",5715,38.09,2505
"Nauru",2201,20.33,2454
"Tuvalu",239,2.03,3670
"Wallis and Futuna",2040,18.15,11917
"Saint Pierre and Miquelon",998,17.22,433
"Montserrat",1379,27.62,24582
"Falkland Islands",1957,56.24,1518
"Niue",588,35.79,5186
"Tokelau",1238,91.23,2112
"Vatican City",809,100,174
